2023-02-09 05:38:59 status half-installed libfontconfig1:amd64 2.13.1-4.2
2023-02-09 05:38:59 status unpacked libfontconfig1:amd64 2.13.1-4.2
2023-02-09 05:38:59 install zlib1g-dev:amd64 <none> 1:1.2.11.dfsg-2+deb11u2
2023-02-09 05:38:59 status half-installed zlib1g-dev:amd64 1:1.2.11.dfsg-2+deb11u2
2023-02-09 05:38:59 status unpacked zlib1g-dev:amd64 1:1.2.11.dfsg-2+deb11u2
2023-02-09 05:38:59 install libpng-dev:amd64 <none> 1.6.37-3
2023-02-09 05:38:59 status half-installed libpng-dev:amd64 1.6.37-3
2023-02-09 05:38:59 status unpacked libpng-dev:amd64 1.6.37-3
2023-02-09 05:38:59 install libfreetype-dev:amd64 <none> 2.10.4+dfsg-1+deb11u1
2023-02-09 05:38:59 status half-installed libfreetype-dev:amd64 2.10.4+dfsg-1+deb11u1
2023-02-09 05:38:59 status unpacked libfreetype-dev:amd64 2.10.4+dfsg-1+deb11u1
2023-02-09 05:38:59 install libfreetype6-dev:amd64 <none> 2.10.4+dfsg-1+deb11u1
2023-02-09 05:38:59 status half-installed libfreetype6-dev:amd64 2.10.4+dfsg-1+deb11u1
2023-02-09 05:38:59 status unpacked libfreetype6-dev:amd64 2.10.4+dfsg-1+deb11u1
2023-02-09 05:38:59 install uuid-dev:amd64 <none> 2.36.1-8+deb11u1
2023-02-09 05:38:59 status half-installed uuid-dev:amd64 2.36.1-8+deb11u1
2023-02-09 05:38:59 status unpacked uuid-dev:amd64 2.36.1-8+deb11u1
2023-02-09 05:38:59 install libglib2.0-0:amd64 <none> 2.66.8-1
2023-02-09 05:38:59 status half-installed libglib2.0-0:amd64 2.66.8-1
2023-02-09 05:38:59 status unpacked libglib2.0-0:amd64 2.66.8-1
2023-02-09 05:38:59 install pkg-config:amd64 <none> 0.29.2-1
2023-02-09 05:38:59 status half-installed pkg-config:amd64 0.29.2-1
2023-02-09 05:38:59 status unpacked pkg-config:amd64 0.29.2-1
2023-02-09 05:38:59 install libfontconfig-dev:amd64 <none> 2.13.1-4.2
2023-02-09 05:38:59 status half-installed libfontconfig-dev:amd64 2.13.1-4.2
2023-02-09 05:39:00 status unpacked libfontconfig-dev:amd64 2.13.1-4.2
2023-02-09 05:39:00 install libfontconfig1-dev:amd64 <none> 2.13.1-4.2
2023-02-09 05:39:00 status half-installed libfontconfig1-dev:amd64 2.13.1-4.2
2023-02-09 05:39:00 status unpacked libfontconfig1-dev:amd64 2.13.1-4.2
2023-02-09 05:39:00 install libgdbm-dev:amd64 <none> 1.19-2
2023-02-09 05:39:00 status half-installed libgdbm-dev:amd64 1.19-2
2023-02-09 05:39:00 status unpacked libgdbm-dev:amd64 1.19-2
2023-02-09 05:39:00 install liblzma-dev:amd64 <none> 5.2.5-2.1~deb11u1
2023-02-09 05:39:00 status half-installed liblzma-dev:amd64 5.2.5-2.1~deb11u1
2023-02-09 05:39:00 status unpacked liblzma-dev:amd64 5.2.5-2.1~deb11u1
2023-02-09 05:39:00 install libncurses6:amd64 <none> 6.2+20201114-2
2023-02-09 05:39:00 status half-installed libncurses6:amd64 6.2+20201114-2
2023-02-09 05:39:00 status unpacked libncurses6:amd64 6.2+20201114-2
2023-02-09 05:39:00 install libncurses-dev:amd64 <none> 6.2+20201114-2
2023-02-09 05:39:00 status half-installed libncurses-dev:amd64 6.2+20201114-2
2023-02-09 05:39:00 status unpacked libncurses-dev:amd64 6.2+20201114-2
2023-02-09 05:39:00 install libncursesw5-dev:amd64 <none> 6.2+20201114-2
2023-02-09 05:39:00 status half-installed libncursesw5-dev:amd64 6.2+20201114-2
2023-02-09 05:39:00 status unpacked libncursesw5-dev:amd64 6.2+20201114-2
2023-02-09 05:39:00 install libpthread-stubs0-dev:amd64 <none> 0.4-1
2023-02-09 05:39:00 status half-installed libpthread-stubs0-dev:amd64 0.4-1
2023-02-09 05:39:00 status unpacked libpthread-stubs0-dev:amd64 0.4-1
2023-02-09 05:39:00 install libreadline-dev:amd64 <none> 8.1-1
2023-02-09 05:39:00 status half-installed libreadline-dev:amd64 8.1-1
2023-02-09 05:39:00 status unpacked libreadline-dev:amd64 8.1-1
2023-02-09 05:39:00 install libsqlite3-dev:amd64 <none> 3.34.1-3
2023-02-09 05:39:00 status half-installed libsqlite3-dev:amd64 3.34.1-3
2023-02-09 05:39:00 status unpacked libsqlite3-dev:amd64 3.34.1-3
2023-02-09 05:39:00 install libssl-dev:amd64 <none> 1.1.1n-0+deb11u4
2023-02-09 05:39:00 status half-installed libssl-dev:amd64 1.1.1n-0+deb11u4
2023-02-09 05:39:00 status unpacked libssl-dev:amd64 1.1.1n-0+deb11u4
2023-02-09 05:39:00 install libtcl8.6:amd64 <none> 8.6.11+dfsg-1
2023-02-09 05:39:00 status half-installed libtcl8.6:amd64 8.6.11+dfsg-1
2023-02-09 05:39:00 status unpacked libtcl8.6:amd64 8.6.11+dfsg-1
2023-02-09 05:39:00 install libxau6:amd64 <none> 1:1.0.9-1
2023-02-09 05:39:00 status half-installed libxau6:amd64 1:1.0.9-1
2023-02-09 05:39:00 status unpacked libxau6:amd64 1:1.0.9-1
2023-02-09 05:39:00 install libxdmcp6:amd64 <none> 1:1.1.2-3
2023-02-09 05:39:00 status half-installed libxdmcp6:amd64 1:1.1.2-3
2023-02-09 05:39:00 status unpacked libxdmcp6:amd64 1:1.1.2-3
2023-02-09 05:39:00 install libxcb1:amd64 <none> 1.14-3
2023-02-09 05:39:00 status half-installed libxcb1:amd64 1.14-3
2023-02-09 05:39:00 status unpacked libxcb1:amd64 1.14-3
2023-02-09 05:39:00 install libx11-data:all <none> 2:1.7.2-1
2023-02-09 05:39:00 status half-installed libx11-data:all 2:1.7.2-1
2023-02-09 05:39:01 status unpacked libx11-data:all 2:1.7.2-1
2023-02-09 05:39:01 install libx11-6:amd64 <none> 2:1.7.2-1
2023-02-09 05:39:01 status half-installed libx11-6:amd64 2:1.7.2-1
2023-02-09 05:39:01 status unpacked libx11-6:amd64 2:1.7.2-1
2023-02-09 05:39:01 install libxrender1:amd64 <none> 1:0.9.10-1
2023-02-09 05:39:01 status half-installed libxrender1:amd64 1:0.9.10-1
2023-02-09 05:39:01 status unpacked libxrender1:amd64 1:0.9.10-1
2023-02-09 05:39:01 install libxft2:amd64 <none> 2.3.2-2
2023-02-09 05:39:01 status half-installed libxft2:amd64 2.3.2-2
2023-02-09 05:39:01 status unpacked libxft2:amd64 2.3.2-2
2023-02-09 05:39:01 install libxext6:amd64 <none> 2:1.3.3-1.1
2023-02-09 05:39:01 status half-installed libxext6:amd64 2:1.3.3-1.1
2023-02-09 05:39:01 status unpacked libxext6:amd64 2:1.3.3-1.1
2023-02-09 05:39:01 install x11-common:all <none> 1:7.7+22
2023-02-09 05:39:01 status half-installed x11-common:all 1:7.7+22
2023-02-09 05:39:01 status unpacked x11-common:all 1:7.7+22
2023-02-09 05:39:01 install libxss1:amd64 <none> 1:1.2.3-1
2023-02-09 05:39:01 status half-installed libxss1:amd64 1:1.2.3-1
2023-02-09 05:39:01 status unpacked libxss1:amd64 1:1.2.3-1
2023-02-09 05:39:01 install libtk8.6:amd64 <none> 8.6.11-2
2023-02-09 05:39:01 status half-installed libtk8.6:amd64 8.6.11-2
2023-02-09 05:39:01 status unpacked libtk8.6:amd64 8.6.11-2
2023-02-09 05:39:01 install xorg-sgml-doctools:all <none> 1:1.11-1.1
2023-02-09 05:39:01 status half-installed xorg-sgml-doctools:all 1:1.11-1.1
2023-02-09 05:39:01 status unpacked xorg-sgml-doctools:all 1:1.11-1.1
2023-02-09 05:39:01 install x11proto-dev:all <none> 2020.1-1
